订单ID,订单号,用户ID,note_id,笔记链接,类型,下单量,完成量,缺口量,原状态,现状态,清理批次,清理时间
5227,ORDER-1779778223423-419,3,6a06ff3b000000003502a8da,https://www.xiaohongshu.com/explore/6a06ff3b000000003502a8da,阅读,11000,8172,2828,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
4716,ORDER-1779768323690-045,3,6a0e59d9000000000602132d,https://www.xiaohongshu.com/explore/6a0e59d9000000000602132d,阅读,20000,17219,2781,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5833,ORDER-1779807321229-060,3,6a1559d5000000003502ba20,https://www.xiaohongshu.com/explore/6a1559d5000000003502ba20,阅读,7000,4505,2495,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6485,ORDER-1779940538079-001,3,6a17af1d000000003502cef1,https://www.xiaohongshu.com/explore/6a17af1d000000003502cef1,阅读,2000,0,2000,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6486,ORDER-1779940538080-002,3,6a17b35600000000350334eb,https://www.xiaohongshu.com/explore/6a17b35600000000350334eb,阅读,2000,0,2000,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5222,ORDER-1779778223423-414,3,6a06f03b0000000008026704,https://www.xiaohongshu.com/explore/6a06f03b0000000008026704,阅读,10000,8173,1827,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5334,ORDER-1779778223434-526,3,6a03f46d000000003501c44d,https://www.xiaohongshu.com/explore/6a03f46d000000003501c44d,阅读,10000,8217,1783,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5264,ORDER-1779778223427-456,3,6a0d5f6900000000350308c9,https://www.xiaohongshu.com/explore/6a0d5f6900000000350308c9,阅读,10000,8237,1763,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5272,ORDER-1779778223427-464,3,6a103a2a00000000360195dc,https://www.xiaohongshu.com/explore/6a103a2a00000000360195dc,阅读,10000,8242,1758,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5189,ORDER-1779778223420-381,3,6a0ff3e000000000350333b2,https://www.xiaohongshu.com/explore/6a0ff3e000000000350333b2,阅读,10000,8374,1626,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5204,ORDER-1779778223421-396,3,6a0ae984000000003601abda,https://www.xiaohongshu.com/explore/6a0ae984000000003601abda,阅读,10000,8507,1493,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5141,ORDER-1779778223410-333,3,6a13d5be000000000602131f,https://www.xiaohongshu.com/explore/6a13d5be000000000602131f,阅读,10000,8548,1452,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5256,ORDER-1779778223426-448,3,6a043182000000000702f60a,https://www.xiaohongshu.com/explore/6a043182000000000702f60a,阅读,10000,8674,1326,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
4711,ORDER-1779768323689-040,3,6a0d8559000000000603295b,https://www.xiaohongshu.com/explore/6a0d8559000000000603295b,阅读,18000,16879,1121,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5273,ORDER-1779778223427-465,3,6a0c2320000000003701fbd1,https://www.xiaohongshu.com/explore/6a0c2320000000003701fbd1,阅读,9000,8005,995,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6326,ORDER-1779807321323-553,3,6a1292d30000000008026d2e,https://www.xiaohongshu.com/explore/6a1292d30000000008026d2e,阅读,5000,4096,904,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5255,ORDER-1779778223426-447,3,6a0708cf0000000006034b6d,https://www.xiaohongshu.com/explore/6a0708cf0000000006034b6d,阅读,9000,8114,886,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
